Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude,BIO_score,LANG_score,OVERALL,MATH_STEM_RATIO,CS_STEM_RATIO,LANG_OVERALL_RATIO,CBSE_FLAG,ENGLISH_MEDIUM,Total Math_PERCENTILE,Total PHY_PERCENTILE,Total CS/IT_PERCENTILE,Total BIO/other_PERCENTILE,career_20
1531,HS,Pritam panja ,84.0,85.0,68,46,74.0,85.0,83.0,79.2,82.2,WBBSE,English,271.0,67.75,80.7,Medium,85.0,84.5,80.7,0.25092250922509224,0.3062730627306273,1.047087980173482,0,1,0.3939566704675028,0.0037058152793614596,0.4991448118586089,0.7907639680729761,9
1532,HS,Priyabrata kumar,77.0,86.0,98,69,61.0,80.0,83.0,61.0,82.2,WBBSE,English,311.0,77.75,71.6,Medium,80.0,81.5,71.6,0.31511254019292606,0.26688102893890675,1.1382681564245811,0,1,0.9683580387685291,0.36630558722919043,0.4991448118586089,0.4985746864310148,3
1533,HS,"SENIOR SCHOOL CERTIFICATE EXAMINATION, 2022",92.0,86.0,89,94,95.0,97.0,83.0,93.4,82.2,WBBSE,English,361.0,90.25,87.80000000000001,High,97.0,89.0,87.80000000000001,0.24653739612188366,0.2299168975069252,1.013667425968109,0,1,0.79903078677309,0.9489737742303307,0.4991448118586089,0.9846066134549601,1
1534,HS,West Bengal Higher Secondary Examination 2021,84.0,80.0,65,85,85.0,76.0,83.0,82.0,82.2,WBBSE,English,318.0,79.5,82.1,Medium,76.0,82.0,82.1,0.20440251572327045,0.2610062893081761,0.9987819732034106,0,1,0.33836944127708096,0.7522805017103763,0.4991448118586089,0.2525655644241733,4
1535,HS,ISC,90.0,86.0,75,74,60.0,80.0,82.0,76.2,82.2,WBBSE,English,291.0,72.75,79.2,Medium,80.0,88.0,79.2,0.25773195876288657,0.281786941580756,1.1111111111111112,0,1,0.5253705815279361,0.47690992018244016,0.14737742303306728,0.4985746864310148,9
1536,HS,ISC,91.0,91.0,93,91,69.0,91.0,89.0,91.4,82.2,WBBSE,English,342.0,85.5,86.80000000000001,High,91.0,91.0,86.80000000000001,0.2719298245614035,0.260233918128655,1.0483870967741935,0,1,0.8848346636259977,0.8902508551881414,0.8908209806157354,0.9007981755986317,1
1537,HS,WBCHSE,80.0,90.0,86,75,91.0,93.0,83.0,88.0,82.2,WBBSE,English,335.0,83.75,85.1,High,93.0,85.0,85.1,0.25671641791044775,0.24776119402985075,0.9988249118683902,0,1,0.750570125427594,0.4991448118586089,0.4991448118586089,0.935290763968073,2
1538,HS,West Bengal Council Of Higher Secondary Education ,83.0,85.0,67,64,80.0,96.0,83.0,82.2,82.2,WBBSE,English,294.0,73.5,82.2,Medium,96.0,84.0,82.2,0.22789115646258504,0.282312925170068,1.021897810218978,0,1,0.37457240592930446,0.2759407069555302,0.4991448118586089,0.9774800456100342,6
1539,HS,Richik Ghosh ,82.0,82.0,63,66,58.0,80.0,68.0,72.2,82.2,WBBSE,English,255.0,63.75,77.2,Medium,80.0,82.0,77.2,0.24705882352941178,0.26666666666666666,1.0621761658031088,0,1,0.3024515393386545,0.31442417331813,0.052451539338654506,0.4985746864310148,9
1540,HS,ISC EXAMINATION ,92.0,91.0,72,71,69.0,80.0,88.0,82.8,82.2,WBBSE,English,300.0,75.0,82.5,Medium,80.0,91.5,82.5,0.24,0.29333333333333333,1.1090909090909091,0,1,0.4655074116305587,0.41191562143671606,0.8822690992018244,0.4985746864310148,4
1541,HS,ISC,87.0,81.0,90,71,59.0,75.0,83.0,80.8,82.2,WBBSE,English,303.0,75.75,81.5,Medium,75.0,84.0,81.5,0.297029702970297,0.2739273927392739,1.030674846625767,0,1,0.8192702394526796,0.41191562143671606,0.4991448118586089,0.23090079817559864,3
1542,HS,Ritam Ghosh,81.0,88.0,92,72,78.0,80.0,96.0,87.0,82.2,WBBSE,English,338.0,84.5,84.6,High,80.0,84.5,84.6,0.27218934911242604,0.28402366863905326,0.9988179669030733,0,1,0.8657354618015963,0.4372862029646522,0.9740592930444698,0.4985746864310148,2
1543,HS,Higher Secondary Examination ,81.0,97.0,90,65,92.0,90.0,83.0,90.0,82.2,WBBSE,English,330.0,82.5,86.1,High,90.0,89.0,86.1,0.2727272727272727,0.2515151515151515,1.0336817653890826,0,1,0.8192702394526796,0.2967502850627138,0.4991448118586089,0.8762827822120867,2
1544,HS,HIGHER SECONDARY EXAMINATION ,91.0,90.0,100,91,90.0,88.0,83.0,92.4,82.2,WBBSE,English,364.0,91.0,87.30000000000001,High,88.0,90.5,87.30000000000001,0.27472527472527475,0.22802197802197802,1.0366552119129437,0,1,0.991448118586089,0.8902508551881414,0.4991448118586089,0.8483466362599772,1
1545,HS,WBCHSE,75.0,94.0,95,74,91.0,96.0,83.0,90.2,82.2,WBBSE,English,343.0,85.75,86.2,High,96.0,84.5,86.2,0.27696793002915454,0.24198250728862974,0.9802784222737819,0,1,0.9233181299885975,0.47690992018244016,0.4991448118586089,0.9774800456100342,1
1546,HS,Higher Secondary Examination ,92.0,84.0,99,90,90.0,98.0,83.0,93.8,82.2,WBBSE,English,362.0,90.5,88.0,High,98.0,88.0,88.0,0.27348066298342544,0.2292817679558011,1.0,0,1,0.9786202964652223,0.8608893956670467,0.4991448118586089,0.9888825541619156,1
1547,HS,WBCHSE,77.0,87.0,92,87,95.0,92.0,83.0,90.6,82.2,WBBSE,English,357.0,89.25,86.4,High,92.0,82.0,86.4,0.25770308123249297,0.23249299719887956,0.949074074074074,0,1,0.8657354618015963,0.8013112884834663,0.4991448118586089,0.9184720638540479,1
1548,HS,HIGHER SECONDARY,86.0,82.0,80,68,86.0,87.0,83.0,84.2,82.2,WBBSE,English,317.0,79.25,83.2,Medium,87.0,84.0,83.2,0.25236593059936907,0.2618296529968454,1.0096153846153846,0,1,0.6271379703534777,0.35347776510832385,0.4991448118586089,0.8278221208665907,4
1549,HS,West Bengal council of higher secondary education ,81.0,74.0,65,84,84.0,74.0,83.0,79.4,82.2,WBBSE,English,316.0,79.0,80.80000000000001,Medium,74.0,77.5,80.80000000000001,0.20569620253164558,0.2626582278481013,0.959158415841584,0,1,0.33836944127708096,0.7274800456100342,0.4991448118586089,0.2112314709236032,4
1550,HS,Madhyamik,84.0,90.0,65,71,71.0,80.0,83.0,79.2,82.2,WBBSE,English,290.0,72.5,80.7,Medium,80.0,87.0,80.7,0.22413793103448276,0.28620689655172415,1.0780669144981412,0,1,0.33836944127708096,0.41191562143671606,0.4991448118586089,0.4985746864310148,9
1551,HS,WBCHSE,90.0,66.0,55,61,67.0,83.0,83.0,73.4,82.2,WBBSE,English,266.0,66.5,77.80000000000001,Medium,83.0,78.0,77.80000000000001,0.20676691729323307,0.31203007518796994,1.0025706940874035,0,1,0.15592930444697833,0.20496009122006842,0.4991448118586089,0.7557012542759407,10
1552,HS,Higher Secondary Examination ,85.0,90.0,80,91,90.0,80.0,83.0,87.2,82.2,WBBSE,English,344.0,86.0,84.7,High,80.0,87.5,84.7,0.23255813953488372,0.24127906976744187,1.0330578512396693,0,1,0.6271379703534777,0.8902508551881414,0.4991448118586089,0.4985746864310148,1
1553,HS,ISC,96.0,95.0,96,84,82.0,93.0,83.0,92.8,82.2,WBBSE,English,345.0,86.25,87.5,High,93.0,95.5,87.5,0.2782608695652174,0.24057971014492754,1.0914285714285714,0,1,0.9415621436716077,0.7274800456100342,0.4991448118586089,0.935290763968073,1
1554,HS,Senior School Certificate Examination 2022,85.0,86.0,82,89,80.0,80.0,94.0,86.0,82.2,WBBSE,English,345.0,86.25,84.1,High,80.0,85.5,84.1,0.23768115942028986,0.27246376811594203,1.0166468489892986,0,1,0.6710376282782212,0.8389395667046751,0.9464082098061574,0.4985746864310148,1
1555,HS,Higher Secondary Examination,67.0,75.0,56,77,77.0,68.0,83.0,72.8,82.2,WBBSE,English,293.0,73.25,77.5,Medium,68.0,71.0,77.5,0.19112627986348124,0.2832764505119454,0.9161290322580645,0,1,0.17103762827822122,0.5538768529076397,0.4991448118586089,0.13768529076396807,10
1556,HS,West Bengal Council Of Higher Secondary Education ,88.0,90.0,94,72,98.0,94.0,83.0,92.8,82.2,WBBSE,English,347.0,86.75,87.5,High,94.0,89.0,87.5,0.27089337175792505,0.23919308357348704,1.0171428571428571,0,1,0.9033637400228051,0.4372862029646522,0.4991448118586089,0.9503990877993158,1
1557,HS,Higher Secondary Examination,87.0,98.0,94,87,96.0,80.0,96.0,94.2,82.2,WBBSE,English,373.0,93.25,88.2,High,80.0,92.5,88.2,0.2520107238605898,0.257372654155496,1.0487528344671202,0,1,0.9033637400228051,0.8013112884834663,0.9740592930444698,0.4985746864310148,1
1558,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,80.0,93.0,90,80,94.0,94.0,83.0,90.2,82.2,WBBSE,English,347.0,86.75,86.2,High,94.0,86.5,86.2,0.25936599423631124,0.23919308357348704,1.0034802784222738,0,1,0.8192702394526796,0.61345496009122,0.4991448118586089,0.9503990877993158,1
1559,HS,West Bengal HS Exam,90.0,86.0,90,80,91.0,80.0,94.0,90.2,82.2,WBBSE,English,355.0,88.75,86.2,High,80.0,88.0,86.2,0.2535211267605634,0.2647887323943662,1.0208816705336428,0,1,0.8192702394526796,0.61345496009122,0.9464082098061574,0.4985746864310148,1
1560,HS,SATISH YADAV ,92.0,96.0,91,80,92.0,82.0,83.0,90.6,82.2,WBBSE,English,346.0,86.5,86.4,High,82.0,94.0,86.4,0.2630057803468208,0.2398843930635838,1.0879629629629628,0,1,0.8454960091220068,0.61345496009122,0.4991448118586089,0.7346066134549601,1
1561,HS,HS Examination,91.0,86.0,82,97,97.0,97.0,83.0,93.6,82.2,WBBSE,English,359.0,89.75,87.9,High,97.0,88.5,87.9,0.22841225626740946,0.23119777158774374,1.0068259385665528,0,1,0.6710376282782212,0.9885974914481186,0.4991448118586089,0.9846066134549601,1
1562,HS,Higher Secondary,91.0,95.0,90,82,95.0,92.0,83.0,92.6,82.2,WBBSE,English,350.0,87.5,87.4,High,92.0,93.0,87.4,0.2571428571428571,0.23714285714285716,1.0640732265446224,0,1,0.8192702394526796,0.677023945267959,0.4991448118586089,0.9184720638540479,1
1563,HS,CBSE Class 12th Examination,83.0,91.0,67,84,86.0,84.0,83.0,85.6,82.2,WBBSE,English,320.0,80.0,83.9,Medium,84.0,87.0,83.9,0.209375,0.259375,1.036948748510131,1,1,0.37457240592930446,0.7274800456100342,0.4991448118586089,0.7725199543899658,2
1564,HS,HIGHER SECONDARY EXAMINATION,87.0,70.0,85,88,88.0,81.0,83.0,85.8,82.2,WBBSE,English,344.0,86.0,84.0,High,81.0,78.5,84.0,0.24709302325581395,0.24127906976744187,0.9345238095238095,0,1,0.7320410490307868,0.822405929304447,0.4991448118586089,0.7115165336374002,1
1565,HS,Uchcha Madhyamik Pariksha,82.0,90.0,65,63,92.0,80.0,97.0,85.2,82.2,WBBSE,English,317.0,79.25,83.7,Medium,80.0,86.0,83.7,0.20504731861198738,0.305993690851735,1.027479091995221,0,1,0.33836944127708096,0.2508551881413911,0.9823261117445838,0.4985746864310148,4
1566,HS,Higher secondary ,97.0,98.0,94,75,90.0,90.0,83.0,93.8,82.2,WBBSE,English,342.0,85.5,88.0,High,90.0,97.5,88.0,0.27485380116959063,0.24269005847953215,1.1079545454545454,0,1,0.9033637400228051,0.4991448118586089,0.4991448118586089,0.8762827822120867,1
1567,HS,Higher secondary ,83.0,80.0,85,63,86.0,86.0,83.0,84.0,82.2,WBBSE,English,317.0,79.25,83.1,Medium,86.0,81.5,83.1,0.26813880126182965,0.2618296529968454,0.9807460890493382,0,1,0.7320410490307868,0.2508551881413911,0.4991448118586089,0.8084378563283923,4
1568,HS,HIGHER  SECONDARY EXAMINATION,62.0,70.0,60,60,82.0,70.0,83.0,68.8,82.2,WBBSE,English,285.0,71.25,75.5,Medium,70.0,66.0,75.5,0.21052631578947367,0.2912280701754386,0.8741721854304636,0,1,0.2354618015963512,0.1790193842645382,0.4991448118586089,0.1525085518814139,10
1569,HS,AISSCE,85.0,86.0,55,63,70.0,63.0,83.0,67.2,82.2,WBBSE,English,271.0,67.75,74.7,Medium,63.0,85.5,74.7,0.2029520295202952,0.3062730627306273,1.144578313253012,0,1,0.15592930444697833,0.2508551881413911,0.4991448118586089,0.07782212086659065,9
1570,HS,CBSE Senior school certificate examination ,85.0,78.0,87,74,69.0,69.0,83.0,78.6,82.2,WBBSE,English,313.0,78.25,80.4,Medium,69.0,81.5,80.4,0.2779552715654952,0.26517571884984026,1.013681592039801,1,1,0.7671037628278221,0.47690992018244016,0.4991448118586089,0.14310148232611175,4
1571,HS,HIGHER SECONDARY EXAMINATION,96.0,96.0,98,70,88.0,93.0,83.0,94.2,82.2,WBBSE,English,339.0,84.75,88.2,High,93.0,96.0,88.2,0.2890855457227139,0.2448377581120944,1.0884353741496597,0,1,0.9683580387685291,0.3848346636259977,0.4991448118586089,0.935290763968073,2
1572,HS,Higher Secondary Examination,81.0,84.0,72,86,86.0,80.0,83.0,83.4,82.2,WBBSE,English,327.0,81.75,82.80000000000001,High,80.0,82.5,82.80000000000001,0.22018348623853212,0.25382262996941896,0.9963768115942028,0,1,0.4655074116305587,0.7785062713797035,0.4991448118586089,0.4985746864310148,2
1573,HS,All India Senior School Certificate Examination,85.0,86.0,95,90,85.0,80.0,96.0,90.2,82.2,WBBSE,English,366.0,91.5,86.2,High,80.0,85.5,86.2,0.25956284153005466,0.26229508196721313,0.9918793503480278,0,1,0.9233181299885975,0.8608893956670467,0.9740592930444698,0.4985746864310148,1
1574,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION 2022,87.0,75.0,76,78,74.0,58.0,83.0,78.0,82.2,WBBSE,English,311.0,77.75,80.1,Medium,58.0,81.0,80.1,0.24437299035369775,0.26688102893890675,1.0112359550561798,0,1,0.5513112884834663,0.5781071835803877,0.4991448118586089,0.04133409350057012,4
1575,HS,SK RAMIGE ALI ,61.0,54.0,84,84,85.0,73.0,83.0,77.4,82.2,WBBSE,English,336.0,84.0,79.80000000000001,High,73.0,57.5,79.80000000000001,0.25,0.24702380952380953,0.7205513784461152,0,1,0.7115165336374002,0.7274800456100342,0.4991448118586089,0.1961231470923603,2
1576,HS,ISC (INDIAN SCHOOL CERTIFICATE EXAMINATION),95.0,87.0,82,71,68.0,80.0,89.0,84.8,82.2,WBBSE,English,310.0,77.5,83.5,Medium,80.0,91.0,83.5,0.2645161290322581,0.2870967741935484,1.089820359281437,0,1,0.6710376282782212,0.41191562143671606,0.8908209806157354,0.4985746864310148,4
1577,HS,ISC (Indian School Certificate Examination),96.0,86.0,93,88,83.0,91.0,83.0,90.2,82.2,WBBSE,English,347.0,86.75,86.2,High,91.0,91.0,86.2,0.2680115273775216,0.23919308357348704,1.0556844547563804,0,1,0.8848346636259977,0.822405929304447,0.4991448118586089,0.9007981755986317,1
1578,HS,WBCHSE,94.0,82.0,90,71,78.0,95.0,83.0,87.8,82.2,WBBSE,English,322.0,80.5,85.0,High,95.0,88.0,85.0,0.2795031055900621,0.2577639751552795,1.035294117647059,0,1,0.8192702394526796,0.41191562143671606,0.4991448118586089,0.9649372862029647,2
1579,HS,Higher secondary examination ,80.0,77.0,64,58,71.0,94.0,83.0,77.2,82.2,WBBSE,English,276.0,69.0,79.7,Medium,94.0,78.5,79.7,0.2318840579710145,0.3007246376811594,0.9849435382685069,0,1,0.3209806157354618,0.15022805017103763,0.4991448118586089,0.9503990877993158,10
1580,HS,Higher Secondary Examination ,92.0,94.0,90,80,84.0,80.0,86.0,89.2,82.2,WBBSE,English,340.0,85.0,85.7,High,80.0,93.0,85.7,0.2647058823529412,0.2529411764705882,1.0851808634772462,0,1,0.8192702394526796,0.61345496009122,0.86345496009122,0.4985746864310148,1
1581,HS,HIGHER SECONDARY EXAMINATION,92.0,90.0,92,64,93.0,74.0,83.0,88.2,82.2,WBBSE,English,332.0,83.0,85.2,High,74.0,91.0,85.2,0.27710843373493976,0.25,1.068075117370892,0,1,0.8657354618015963,0.2759407069555302,0.4991448118586089,0.2112314709236032,2
1582,HS,Higher secondary,92.0,84.0,84,57,73.0,76.0,83.0,81.8,82.2,WBBSE,English,297.0,74.25,82.0,Medium,76.0,88.0,82.0,0.2828282828282828,0.27946127946127947,1.0731707317073171,0,1,0.7115165336374002,0.13740022805017105,0.4991448118586089,0.2525655644241733,6
1583,HS,West Bengal Council of Higher Secondary Education,85.0,85.0,100,85,86.0,85.0,83.0,88.2,82.2,WBBSE,English,354.0,88.5,85.2,High,85.0,85.0,85.2,0.2824858757062147,0.2344632768361582,0.9976525821596244,0,1,0.991448118586089,0.7522805017103763,0.4991448118586089,0.7907639680729761,1
1584,HS,Souradeep Dey,86.0,86.0,51,67,64.0,80.0,88.0,71.2,82.2,WBBSE,English,270.0,67.5,76.7,Medium,80.0,86.0,76.7,0.18888888888888888,0.32592592592592595,1.1212516297262058,0,1,0.0983466362599772,0.33409350057012543,0.8822690992018244,0.4985746864310148,5
1585,HS,HIGHER SECONDARY,85.0,80.0,78,60,86.0,83.0,83.0,82.4,82.2,WBBSE,English,307.0,76.75,82.30000000000001,Medium,83.0,82.5,82.30000000000001,0.254071661237785,0.2703583061889251,1.0024301336573511,0,1,0.5920752565564424,0.1790193842645382,0.4991448118586089,0.7557012542759407,4
1586,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION,89.0,86.0,79,82,80.0,80.0,94.0,84.8,82.2,WBBSE,English,335.0,83.75,83.5,High,80.0,87.5,83.5,0.23582089552238805,0.28059701492537314,1.0479041916167664,0,1,0.6068985176738882,0.677023945267959,0.9464082098061574,0.4985746864310148,2
1587,HS,wbchse,84.0,80.0,90,91,90.0,76.0,83.0,87.0,82.2,WBBSE,English,354.0,88.5,84.6,High,76.0,82.0,84.6,0.2542372881355932,0.2344632768361582,0.9692671394799055,0,1,0.8192702394526796,0.8902508551881414,0.4991448118586089,0.2525655644241733,1
1588,HS,West Bengal council of Higher Secondary education ,75.0,85.0,76,90,90.0,90.0,83.0,86.2,82.2,WBBSE,English,339.0,84.75,84.2,High,90.0,80.0,84.2,0.22418879056047197,0.2448377581120944,0.9501187648456056,0,1,0.5513112884834663,0.8608893956670467,0.4991448118586089,0.8762827822120867,2
1589,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,65.0,67.0,64,71,70.0,61.0,83.0,67.4,82.2,WBBSE,English,288.0,72.0,74.80000000000001,Medium,61.0,66.0,74.80000000000001,0.2222222222222222,0.2881944444444444,0.8823529411764705,0,1,0.3209806157354618,0.41191562143671606,0.4991448118586089,0.05843785632839225,10
1590,HS,H.S EXAMINATION,90.0,90.0,98,93,84.0,87.0,83.0,91.6,82.2,WBBSE,English,358.0,89.5,86.9,High,87.0,90.0,86.9,0.2737430167597765,0.23184357541899442,1.0356731875719216,0,1,0.9683580387685291,0.9332953249714937,0.4991448118586089,0.8278221208665907,1
1591,HS,Higher Secondary Examination,98.0,91.0,78,72,91.0,99.0,83.0,91.4,82.2,WBBSE,English,324.0,81.0,86.80000000000001,High,99.0,94.5,86.80000000000001,0.24074074074074073,0.25617283950617287,1.0887096774193548,0,1,0.5920752565564424,0.4372862029646522,0.4991448118586089,0.9937286202964652,2
1592,HS,SRIJAN DAS,84.0,96.0,98,62,86.0,80.0,86.0,90.0,82.2,WBBSE,English,332.0,83.0,86.1,High,80.0,90.0,86.1,0.29518072289156627,0.25903614457831325,1.0452961672473868,0,1,0.9683580387685291,0.2266248574686431,0.86345496009122,0.4985746864310148,2
1593,HS,Higher Secondary (HS),82.0,90.0,94,80,90.0,86.0,83.0,88.4,82.2,WBBSE,English,347.0,86.75,85.30000000000001,High,86.0,86.0,85.30000000000001,0.27089337175792505,0.23919308357348704,1.0082063305978897,0,1,0.9033637400228051,0.61345496009122,0.4991448118586089,0.8084378563283923,1
1594,HS,HIGHER SECONDARY,82.0,81.0,93,76,91.0,87.0,83.0,86.8,82.2,WBBSE,English,343.0,85.75,84.5,High,87.0,81.5,84.5,0.27113702623906705,0.24198250728862974,0.9644970414201184,0,1,0.8848346636259977,0.5267958950969214,0.4991448118586089,0.8278221208665907,1
1595,HS,HIGHER SCONDARY ,70.0,88.0,74,90,90.0,86.0,83.0,85.6,82.2,WBBSE,English,337.0,84.25,83.9,High,86.0,79.0,83.9,0.2195845697329377,0.24629080118694363,0.9415971394517282,0,1,0.5017103762827823,0.8608893956670467,0.4991448118586089,0.8084378563283923,2
1596,HS,ISC,83.0,79.0,92,85,73.0,82.0,83.0,84.2,82.2,WBBSE,English,333.0,83.25,83.2,High,82.0,81.0,83.2,0.27627627627627627,0.24924924924924924,0.9735576923076923,0,1,0.8657354618015963,0.7522805017103763,0.4991448118586089,0.7346066134549601,2
1597,HS,HIGHER SECONDARY EXAMINATION,63.0,66.0,57,71,71.0,64.0,83.0,67.0,82.2,WBBSE,English,282.0,70.5,74.6,Medium,64.0,64.5,74.6,0.20212765957446807,0.29432624113475175,0.8646112600536193,0,1,0.18899657924743443,0.41191562143671606,0.4991448118586089,0.08637400228050171,10
1598,HS,Higher Secondary ,74.0,90.0,78,63,71.0,91.0,83.0,80.8,82.2,WBBSE,English,295.0,73.75,81.5,Medium,91.0,82.0,81.5,0.26440677966101694,0.28135593220338984,1.0061349693251533,0,1,0.5920752565564424,0.2508551881413911,0.4991448118586089,0.9007981755986317,9
1599,HS,WBCHSE,88.0,82.0,92,84,91.0,80.0,91.0,89.2,82.2,WBBSE,English,358.0,89.5,85.7,High,80.0,85.0,85.7,0.2569832402234637,0.2541899441340782,0.9918319719953326,0,1,0.8657354618015963,0.7274800456100342,0.9119156214367161,0.4985746864310148,1
1600,HS,HIGHER SECONDARY,90.0,91.0,97,90,99.0,97.0,83.0,94.8,82.2,WBBSE,English,369.0,92.25,88.5,High,97.0,90.5,88.5,0.26287262872628725,0.22493224932249323,1.0225988700564972,0,1,0.9552451539338654,0.8608893956670467,0.4991448118586089,0.9846066134549601,1
1601,HS,HIGHER SECONDARY,94.0,87.0,91,66,67.0,90.0,83.0,85.8,82.2,WBBSE,English,307.0,76.75,84.0,Medium,90.0,90.5,84.0,0.2964169381107492,0.2703583061889251,1.0773809523809523,0,1,0.8454960091220068,0.31442417331813,0.4991448118586089,0.8762827822120867,3
1602,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,84.0,90.0,75,57,60.0,80.0,64.0,74.6,82.2,WBBSE,English,256.0,64.0,78.4,Medium,80.0,87.0,78.4,0.29296875,0.25,1.1096938775510203,0,1,0.5253705815279361,0.13740022805017105,0.033352337514253136,0.4985746864310148,9
1603,HS,Higher secondary ,90.0,86.0,94,76,96.0,95.0,83.0,92.2,82.2,WBBSE,English,349.0,87.25,87.2,High,95.0,88.0,87.2,0.2693409742120344,0.23782234957020057,1.0091743119266054,0,1,0.9033637400228051,0.5267958950969214,0.4991448118586089,0.9649372862029647,1
1604,HS,HIGHER SECONDARY EXAMINATION 2022,93.0,98.0,100,77,86.0,80.0,96.0,94.6,82.2,WBBSE,English,359.0,89.75,88.4,High,80.0,95.5,88.4,0.2785515320334262,0.26740947075208915,1.080316742081448,0,1,0.991448118586089,0.5538768529076397,0.9740592930444698,0.4985746864310148,1
1605,HS,ISC ,91.0,87.0,63,66,60.0,78.0,83.0,77.0,82.2,WBBSE,English,272.0,68.0,79.6,Medium,78.0,89.0,79.6,0.23161764705882354,0.30514705882352944,1.1180904522613067,0,1,0.3024515393386545,0.31442417331813,0.4991448118586089,0.2859179019384265,9
1606,HS,H.S EXAMINATION ,87.0,91.0,93,81,94.0,93.0,83.0,91.6,82.2,WBBSE,English,351.0,87.75,86.9,High,93.0,89.0,86.9,0.26495726495726496,0.23646723646723647,1.0241657077100115,0,1,0.8848346636259977,0.6476624857468644,0.4991448118586089,0.935290763968073,1
1607,HS,Higher Secondary Examination,86.0,98.0,87,57,92.0,91.0,83.0,90.8,82.2,WBBSE,English,319.0,79.75,86.5,Medium,91.0,92.0,86.5,0.2727272727272727,0.2601880877742947,1.0635838150289016,0,1,0.7671037628278221,0.13740022805017105,0.4991448118586089,0.9007981755986317,4
1608,HS,Higher secondary Examination ,75.0,78.0,60,80,72.0,64.0,83.0,73.8,82.2,WBBSE,English,295.0,73.75,78.0,Medium,64.0,76.5,78.0,0.2033898305084746,0.28135593220338984,0.9807692307692307,0,1,0.2354618015963512,0.61345496009122,0.4991448118586089,0.08637400228050171,10
1609,HS,Higher Secondary,90.0,83.0,60,62,88.0,77.0,83.0,80.0,82.2,WBBSE,English,293.0,73.25,81.1,Medium,77.0,86.5,81.1,0.20477815699658702,0.2832764505119454,1.0665844636251542,0,1,0.2354618015963512,0.2266248574686431,0.4991448118586089,0.27137970353477764,9
1610,HS,INDIAN SCHOOL CERTIFICATE EXAMINATION,90.0,90.0,61,59,63.0,83.0,83.0,77.4,82.2,WBBSE,English,266.0,66.5,79.80000000000001,Medium,83.0,90.0,79.80000000000001,0.22932330827067668,0.31203007518796994,1.1278195488721803,0,1,0.26254275940706956,0.15992018244013684,0.4991448118586089,0.7557012542759407,9
1611,HS,WBCHSE Higher Secondary Examination ,80.0,81.0,63,55,87.0,92.0,83.0,80.6,82.2,WBBSE,English,288.0,72.0,81.4,Medium,92.0,80.5,81.4,0.21875,0.2881944444444444,0.9889434889434888,0,1,0.3024515393386545,0.1080387685290764,0.4991448118586089,0.9184720638540479,10
1612,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,83.0,92.0,60,53,70.0,80.0,82.0,77.4,82.2,WBBSE,English,265.0,66.25,79.80000000000001,Medium,80.0,87.5,79.80000000000001,0.22641509433962265,0.30943396226415093,1.0964912280701753,0,1,0.2354618015963512,0.08523375142531357,0.14737742303306728,0.4985746864310148,9
1613,HS,WBCHSE,76.0,81.0,73,67,77.0,87.0,83.0,78.8,82.2,WBBSE,English,300.0,75.0,80.5,Medium,87.0,78.5,80.5,0.24333333333333335,0.27666666666666667,0.9751552795031055,0,1,0.4823261117445838,0.33409350057012543,0.4991448118586089,0.8278221208665907,4
1614,HS,Higher Secondary Examination ,73.0,72.0,63,76,77.0,70.0,83.0,73.6,82.2,WBBSE,English,299.0,74.75,77.9,Medium,70.0,72.5,77.9,0.21070234113712374,0.27759197324414714,0.9306803594351732,0,1,0.3024515393386545,0.5267958950969214,0.4991448118586089,0.1525085518814139,10
1615,HS,WB HS EXAM ,91.0,86.0,99,87,97.0,90.0,83.0,92.8,82.2,WBBSE,English,366.0,91.5,87.5,High,90.0,88.5,87.5,0.27049180327868855,0.226775956284153,1.0114285714285713,0,1,0.9786202964652223,0.8013112884834663,0.4991448118586089,0.8762827822120867,1
1616,HS,HIGHER SECONDARY,87.0,91.0,97,82,74.0,90.0,83.0,89.4,82.2,WBBSE,English,336.0,84.0,85.80000000000001,High,90.0,89.0,85.80000000000001,0.28869047619047616,0.24702380952380953,1.0372960372960371,0,1,0.9552451539338654,0.677023945267959,0.4991448118586089,0.8762827822120867,2
1617,HS,Higher secondary education ,71.0,63.0,56,51,56.0,80.0,83.0,65.2,82.2,WBBSE,English,246.0,61.5,73.7,Medium,80.0,67.0,73.7,0.22764227642276422,0.33739837398373984,0.9090909090909091,0,1,0.17103762827822122,0.042759407069555305,0.4991448118586089,0.4985746864310148,10
1618,HS,Tushar Sil,85.0,86.0,70,87,87.0,75.0,83.0,84.0,82.2,WBBSE,English,327.0,81.75,83.1,High,75.0,85.5,83.1,0.21406727828746178,0.25382262996941896,1.0288808664259927,0,1,0.4258836944127708,0.8013112884834663,0.4991448118586089,0.23090079817559864,2
