Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude,BIO_score,LANG_score,OVERALL,MATH_STEM_RATIO,CS_STEM_RATIO,LANG_OVERALL_RATIO,CBSE_FLAG,ENGLISH_MEDIUM,Total Math_PERCENTILE,Total PHY_PERCENTILE,Total CS/IT_PERCENTILE,Total BIO/other_PERCENTILE,career_20
11,HS,WBBSE,86.0,90.0,46,76,88.0,84.0,83.0,84.8,0.79,WBBSE ,Bengali,293.0,73.25,42.795,Medium,84.0,88.0,42.795,0.15699658703071673,0.2832764505119454,2.056314990068933,0,0,0.059578107183580385,0.5267958950969214,0.4991448118586089,0.7725199543899658,9
12,ISC,CISCE,86.0,86.0,83,88,94.0,80.0,96.0,89.4,91.0,CISCE ,English,361.0,90.25,90.2,High,80.0,86.0,90.2,0.2299168975069252,0.2659279778393352,0.9534368070953436,0,1,0.6918472063854048,0.822405929304447,0.9740592930444698,0.4985746864310148,1
13,SSCE,CBSE,90.0,90.0,81,70,95.0,88.0,81.0,88.8,87.1,CBSE,English,327.0,81.75,87.94999999999999,High,88.0,90.0,87.94999999999999,0.24770642201834864,0.24770642201834864,1.023308698123934,1,1,0.6505131128848347,0.3848346636259977,0.13911060433295325,0.8483466362599772,2
14,ISC,Council For The Indian School Certificate Examinations,78.0,78.0,60,68,69.0,80.0,94.0,77.4,84.2,Council For The Indian School Certificate Examinations,English,291.0,72.75,80.80000000000001,Medium,80.0,78.0,80.80000000000001,0.20618556701030927,0.3230240549828179,0.9653465346534652,0,1,0.2354618015963512,0.35347776510832385,0.9464082098061574,0.4985746864310148,5
15,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,81.0,93.0,86,81,86.0,77.0,83.0,85.4,83.8,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,336.0,84.0,84.6,High,77.0,87.0,84.6,0.25595238095238093,0.24702380952380953,1.0283687943262412,0,0,0.750570125427594,0.6476624857468644,0.4991448118586089,0.27137970353477764,2
16,HS, West Bengal Council of Higher Secondary Education,73.0,80.0,45,68,72.0,80.0,76.0,73.8,68.25,West Bengal Board of Secondary Education ,English,261.0,65.25,71.025,Medium,80.0,76.5,71.025,0.1724137931034483,0.29118773946360155,1.0770855332629354,0,1,0.04532497149372862,0.35347776510832385,0.10119726339794755,0.4985746864310148,12
17,SSCE,CBSE,81.0,86.0,61,71,71.0,80.0,54.0,67.6,95.0,CBSE,English,257.0,64.25,81.3,Medium,80.0,83.5,81.3,0.23735408560311283,0.21011673151750973,1.027060270602706,1,1,0.26254275940706956,0.41191562143671606,0.010262257696693273,0.4985746864310148,9
18,HS,West Bengal Counsil of Higher Secondary Education ,78.0,92.0,75,80,62.0,46.0,83.0,77.4,90.57,West Bengal board of secondary education ,English,300.0,75.0,83.985,Medium,46.0,85.0,83.985,0.25,0.27666666666666667,1.0120854914568078,0,1,0.5253705815279361,0.61345496009122,0.4991448118586089,0.005701254275940707,4
19,SSCE,CBSE,85.0,86.0,65,72,82.0,80.0,92.0,79.2,77.3,CBSE,English,311.0,77.75,78.25,Medium,80.0,85.5,78.25,0.2090032154340836,0.2958199356913183,1.0926517571884984,1,1,0.33836944127708096,0.4372862029646522,0.9230330672748005,0.4985746864310148,4
20,ISC,CISCE,81.0,90.0,54,85,79.0,80.0,81.0,78.2,87.0,Icse,English,299.0,74.75,82.6,Medium,80.0,85.5,82.6,0.1806020066889632,0.2709030100334448,1.0351089588377724,0,1,0.13968072976054732,0.7522805017103763,0.13911060433295325,0.4985746864310148,6
21,ISC,Council for the Indian School Certificate Examinations,96.0,96.0,94,89,94.0,80.0,93.0,94.6,97.4,Council for the Indian School Certificate Examinations,English,370.0,92.5,96.0,High,80.0,96.0,96.0,0.25405405405405407,0.25135135135135134,1.0,0,1,0.9033637400228051,0.8389395667046751,0.9332953249714937,0.4985746864310148,1
22,SSCE,CBSE ,81.0,86.0,45,52,59.0,80.0,74.0,62.2,82.67,CBSE ,English,230.0,57.5,72.435,Low,80.0,83.5,72.435,0.1956521739130435,0.3217391304347826,1.1527576447849797,1,1,0.04532497149372862,0.06727480045610035,0.08551881413911061,0.4985746864310148,9
23,SSCE,CBSE,75.0,86.0,59,72,77.0,73.0,83.0,71.2,0.802,CBSE,English,291.0,72.75,36.001000000000005,Medium,73.0,80.5,36.001000000000005,0.2027491408934708,0.2852233676975945,2.2360489986389265,1,1,0.21522234891676167,0.4372862029646522,0.4991448118586089,0.1961231470923603,13
24,Other,BIHAR SCHOOL EXAMINATION BOARD,81.0,77.0,85,84,78.0,65.0,83.0,81.0,84.2,BIHAR SCHOOL EXAMINATION BOARD,Hindi,330.0,82.5,82.6,High,65.0,79.0,82.6,0.25757575757575757,0.2515151515151515,0.9564164648910413,0,0,0.7320410490307868,0.7274800456100342,0.4991448118586089,0.09920182440136831,2
