Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude
835,HS,HIGHER SECONDARY (H.S.),78.0,82.0,63,86,86.0,66.0,83.0,79.6,82.2,WBBSE,English,318.0,79.5,80.9,Medium
836,HS,CBSE,96.0,92.0,89,92,90.0,80.0,94.0,92.8,82.2,WBBSE,English,365.0,91.25,87.5,High
837,HS,WBCHSE,82.0,65.0,68,84,84.0,70.0,83.0,77.6,82.2,WBBSE,English,319.0,79.75,79.9,Medium
838,HS,Intermediate Annual Examination ,78.0,75.0,46,67,82.0,80.0,83.0,69.6,82.2,WBBSE,English,278.0,69.5,75.9,Medium
839,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION,94.0,96.0,91,91,87.0,80.0,94.0,93.2,82.2,WBBSE,English,363.0,90.75,87.7,High
840,HS,Higher Secondary  Examination,70.0,80.0,60,80,81.0,81.0,83.0,78.4,82.2,WBBSE,English,304.0,76.0,80.30000000000001,Medium
841,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION,70.0,72.0,50,75,80.0,80.0,83.0,69.4,82.2,WBBSE,English,288.0,72.0,75.80000000000001,Medium
842,HS,Indian School Certificate examination,99.0,99.0,92,90,80.0,100.0,83.0,96.0,82.2,WBBSE,English,345.0,86.25,89.1,High
843,HS,INDIAN SCHOOL CERTIFICATE EXAMINATION (ISC),86.0,86.0,79,99,96.0,80.0,98.0,91.6,82.2,WBBSE,English,372.0,93.0,86.9,High
844,HS,HIGHER SECONDARY EXAMINATION ,80.0,82.0,76,84,84.0,80.0,83.0,81.2,82.2,WBBSE,English,327.0,81.75,81.7,High
845,HS,Higher Secondary Examination,83.0,90.0,92,93,93.0,90.0,83.0,91.6,82.2,WBBSE,English,361.0,90.25,86.9,High
846,HS,HIGHER SECONDARY EXAMINATION,84.0,86.0,73,88,83.0,82.0,83.0,84.6,82.2,WBBSE,English,327.0,81.75,83.4,High
847,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION,68.0,86.0,60,74,82.0,77.0,95.0,79.2,82.2,WBBSE,English,311.0,77.75,80.7,Medium
848,HS,WBCHSE,60.0,77.0,63,77,78.0,80.0,83.0,71.0,82.2,WBBSE,English,301.0,75.25,76.6,Medium
849,HS,All India Senior School Certificate Examination,76.0,59.0,57,63,64.0,50.0,83.0,63.8,82.2,WBBSE,English,267.0,66.75,73.0,Medium
850,HS,Higher Secondary Examination ,81.0,87.0,82,92,92.0,92.0,83.0,89.0,82.2,WBBSE,English,349.0,87.25,85.6,High
851,HS,HIGHER SECONDARY EXAMINATION(HS),90.0,83.0,67,91,91.0,80.0,83.0,87.6,82.2,WBBSE,English,332.0,83.0,84.9,High
852,HS,HIGHER SECONDARY EXAMINATION,90.0,87.0,83,91,91.0,80.0,83.0,88.4,82.2,WBBSE,English,348.0,87.0,85.30000000000001,High
853,HS,Higher secondary examination,77.0,80.0,60,82,82.0,75.0,83.0,79.2,82.2,WBBSE,English,307.0,76.75,80.7,Medium
854,HS,Senior School Certificate Examination,83.0,81.0,68,82,88.0,80.0,79.0,82.6,82.2,WBBSE,English,317.0,79.25,82.4,Medium
855,HS,Higher Secondary Examination ,80.0,82.0,78,84,84.0,80.0,76.0,81.6,82.2,WBBSE,English,322.0,80.5,81.9,High
856,HS,INTERMEDIATE EXAMINATION,90.0,43.0,77,88,84.0,80.0,83.0,76.4,82.2,WBBSE,English,332.0,83.0,79.30000000000001,High
857,HS,Higher Secondary Examination,83.0,92.0,72,93,93.0,71.0,83.0,86.6,82.2,WBBSE,English,341.0,85.25,84.4,High
858,HS,HIGHER SECONDARY,90.0,80.0,70,85,90.0,88.0,83.0,86.6,82.2,WBBSE,English,328.0,82.0,84.4,High
859,HS,HS Examination ,84.0,77.0,75,86,86.0,71.0,83.0,81.6,82.2,WBBSE,English,330.0,82.5,81.9,High
860,HS,ISC,93.0,95.0,93,91,89.0,80.0,100.0,94.4,82.2,WBBSE,English,373.0,93.25,88.30000000000001,High
861,HS,HIGHER SECONDARY EXAMINATION,78.0,83.0,71,84,82.0,65.0,83.0,79.6,82.2,WBBSE,English,320.0,80.0,80.9,Medium
862,HS,HIGHER SECONDARY EXAMINATION,91.0,93.0,84,95,95.0,95.0,83.0,93.8,82.2,WBBSE,English,357.0,89.25,88.0,High
863,HS,INDIAN SCHOOL CERTIFICATE EXAMINATION,97.0,100.0,96,88,78.0,80.0,92.0,94.6,82.2,WBBSE,English,354.0,88.5,88.4,High
864,HS,WBCHSE,68.0,65.0,61,72,71.0,72.0,83.0,69.6,82.2,WBBSE,English,287.0,71.75,75.9,Medium
865,HS,INDIAN SCHOOL CERTIFICATE EXAMINATION,83.0,84.0,59,77,69.0,79.0,83.0,78.4,82.2,WBBSE,English,288.0,72.0,80.30000000000001,Medium
866,HS,HIGHER SECONDARY EXAMINATION 2021,92.0,87.0,87,93,92.0,80.0,83.0,90.2,82.2,WBBSE,English,355.0,88.75,86.2,High
867,HS,CENTRAL BOARD OF SECONDARY EDUCATION,88.0,84.0,70,71,86.0,80.0,83.0,79.8,82.2,WBBSE,English,310.0,77.5,81.0,Medium
868,HS,ISC,96.0,86.0,81,81,74.0,80.0,94.0,85.2,82.2,WBBSE,English,330.0,82.5,83.7,High
869,HS,INDIAN SCHOOL CERTIFICATE EXAMINATION,94.0,93.0,86,75,82.0,85.0,83.0,88.0,82.2,WBBSE,English,326.0,81.5,85.1,High
870,HS,Higher Secondary Examination,88.0,90.0,85,92,92.0,74.0,83.0,89.4,82.2,WBBSE,English,352.0,88.0,85.80000000000001,High
871,HS,ISC,82.0,85.0,80,86,88.0,98.0,83.0,87.8,82.2,WBBSE,English,337.0,84.25,85.0,High
872,HS,HIGHER SECONDARY EXAMINATION,93.0,90.0,85,94,94.0,86.0,83.0,91.4,82.2,WBBSE,English,356.0,89.0,86.80000000000001,High
873,HS,Cbse,85.0,86.0,56,63,67.0,65.0,83.0,67.2,82.2,WBBSE,English,269.0,67.25,74.7,Medium
874,HS,HSC,44.0,100.0,79,67,74.0,80.0,83.0,77.0,82.2,WBBSE,English,303.0,75.75,79.6,Medium
875,HS,Higher Secondary,73.0,82.0,70,83,84.0,80.0,65.0,78.4,82.2,WBBSE,English,302.0,75.5,80.30000000000001,Medium
876,HS,WBCHSE,68.0,82.0,66,83,83.0,50.0,83.0,76.4,82.2,WBBSE,English,315.0,78.75,79.30000000000001,Medium
877,HS,AISSCE,83.0,86.0,66,85,81.0,80.0,82.0,79.4,82.2,WBBSE,English,314.0,78.5,80.80000000000001,Medium
878,HS,Senior school certificate examination,91.0,86.0,82,76,69.0,86.0,83.0,84.2,82.2,WBBSE,English,310.0,77.5,83.2,Medium
879,HS,ADITYA PAUL,80.0,80.0,65,70,79.0,80.0,96.0,78.2,82.2,WBBSE,English,310.0,77.5,80.2,Medium
880,HS,AISSCE,90.0,86.0,76,76,74.0,78.0,83.0,78.8,82.2,WBBSE,English,309.0,77.25,80.5,Medium
881,HS,HIGHER SECONDERY EXAMINATION,74.0,77.0,67,78,80.0,80.0,68.0,75.4,82.2,WBBSE,English,293.0,73.25,78.80000000000001,Medium
882,HS,AISSCE,93.0,86.0,96,92,93.0,80.0,93.0,93.4,82.2,WBBSE,English,374.0,93.5,87.80000000000001,High
883,HS,HIGHER SECONDARY EXAMINATION,83.0,95.0,90,95,96.0,91.0,83.0,93.4,82.2,WBBSE,English,364.0,91.0,87.80000000000001,High
884,HS,WBCHSE,81.0,88.0,75,88,90.0,72.0,83.0,84.4,82.2,WBBSE,English,336.0,84.0,83.30000000000001,High
885,HS,West Bengal Council of Higher Secondary Education,88.0,88.0,84,88,90.0,67.0,83.0,87.6,82.2,WBBSE,English,345.0,86.25,84.9,High
886,HS, All India Senior School Certificate Examination (AISSCE),72.0,89.0,57,70,69.0,80.0,83.0,71.4,82.2,WBBSE,English,279.0,69.75,76.80000000000001,Medium
887,HS,CBSE SENIOR SCHOOL CERTIFICATE EXAMINATION (CLASS 12) 2021,63.0,86.0,54,64,63.0,65.0,83.0,61.8,82.2,WBBSE,English,264.0,66.0,72.0,Medium
888,HS,AISSCE,78.0,86.0,81,84,82.0,80.0,84.0,81.8,82.2,WBBSE,English,331.0,82.75,82.0,High
889,HS,SENIOR SECONDARY EXAMINATION,84.0,86.0,75,72,75.0,75.0,83.0,76.2,82.2,WBBSE,English,305.0,76.25,79.2,Medium
890,HS,West Bengal Council Of Higher Secondary Education,68.0,76.0,56,78,80.0,80.0,70.0,74.4,82.2,WBBSE,English,284.0,71.0,78.30000000000001,Medium
891,HS,West Bengal Higher Secondary (Class 12) Examinations,80.0,82.0,60,85,85.0,80.0,83.0,78.4,82.2,WBBSE,English,313.0,78.25,80.30000000000001,Medium
892,HS,ISC(Indian School Certificate Examination) ,75.0,86.0,95,71,55.0,80.0,64.0,78.2,82.2,WBBSE,English,285.0,71.25,80.2,Medium
893,HS,HIGHER SECONDARY EXAMINATION,93.0,92.0,97,97,97.0,88.0,83.0,95.2,82.2,WBBSE,English,374.0,93.5,88.7,High
894,HS,ISC,84.0,79.0,85,76,84.0,80.0,76.0,81.6,82.2,WBBSE,English,321.0,80.25,81.9,High
895,HS,WBCHSE,88.0,90.0,82,90,90.0,51.0,83.0,88.0,82.2,WBBSE,English,345.0,86.25,85.1,High
896,HS,Higher secondary Examination ,68.0,78.0,61,78,80.0,80.0,67.0,74.2,82.2,WBBSE,English,286.0,71.5,78.2,Medium
897,HS,CBSE,89.0,86.0,75,77,91.0,93.0,83.0,85.0,82.2,WBBSE,English,326.0,81.5,83.6,High
898,HS,Indian school certificate examination ,80.0,88.0,75,78,74.0,80.0,85.0,81.2,82.2,WBBSE,English,312.0,78.0,81.7,Medium
899,HS,Higher Secondary Examination,83.0,90.0,72,92,92.0,74.0,83.0,86.2,82.2,WBBSE,English,339.0,84.75,84.2,High
900,HS,HIGHER SECONDARY EXAMINATION,84.0,77.0,82,85,86.0,80.0,83.0,83.4,82.2,WBBSE,English,336.0,84.0,82.80000000000001,High
901,HS,HIGHER SECONDARY EXAMINATION,82.0,83.0,67,85,84.0,70.0,83.0,80.8,82.2,WBBSE,English,319.0,79.75,81.5,Medium
902,HS,WBCHSE,81.0,80.0,82,84,85.0,80.0,83.0,82.4,82.2,WBBSE,English,334.0,83.5,82.30000000000001,High
903,HS,CBSE,78.0,86.0,58,64,74.0,80.0,90.0,72.8,82.2,WBBSE,English,286.0,71.5,77.5,Medium
904,HS,All India Senior School Certificate Examination ,95.0,86.0,89,93,88.0,93.0,83.0,91.6,82.2,WBBSE,English,353.0,88.25,86.9,High
905,HS,ISC,86.0,86.0,81,79,79.0,90.0,83.0,84.4,82.2,WBBSE,English,322.0,80.5,83.30000000000001,High
906,HS,ISC,79.0,86.0,90,92,80.0,91.0,83.0,87.8,82.2,WBBSE,English,345.0,86.25,85.0,High
907,HS,HIGHER SECONDARY EXAMINATION,90.0,77.0,75,90,91.0,80.0,83.0,85.6,82.2,WBBSE,English,339.0,84.75,83.9,High
908,HS,ALL INDIA SENIOR SCHOOL CERTIFICATE EXAMINATION,86.0,86.0,71,69,66.0,68.0,83.0,72.0,82.2,WBBSE,English,289.0,72.25,77.1,Medium
909,HS, HIGHER SECONDARY ,85.0,84.0,76,87,87.0,80.0,85.0,85.6,82.2,WBBSE,English,335.0,83.75,83.9,High
910,HS,Higher Secondary Examination 2021,78.0,87.0,76,90,90.0,88.0,83.0,86.6,82.2,WBBSE,English,339.0,84.75,84.4,High
911,HS,ISC,92.0,84.0,59,72,68.0,86.0,83.0,80.4,82.2,WBBSE,English,282.0,70.5,81.30000000000001,Medium
912,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION 2020,94.0,86.0,73,82,88.0,88.0,83.0,85.0,82.2,WBBSE,English,326.0,81.5,83.6,High
913,HS,WBCHSE,80.0,84.0,65,86,85.0,76.0,83.0,82.2,82.2,WBBSE,English,319.0,79.75,82.2,Medium
914,HS,West Bengal Council Of Higher secondary education,75.0,75.0,62,76,77.0,75.0,83.0,75.6,82.2,WBBSE,English,298.0,74.5,78.9,Medium
915,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION,71.0,86.0,59,64,64.0,57.0,83.0,63.0,82.2,WBBSE,English,270.0,67.5,72.6,Medium
916,HS,INDIAN SCHOOL CERTIFICATE,93.0,94.0,85,94,90.0,92.0,83.0,92.6,82.2,WBBSE,English,352.0,88.0,87.4,High
917,HS,AISSCE,94.0,86.0,91,96,96.0,80.0,92.0,93.8,82.2,WBBSE,English,375.0,93.75,88.0,High
918,HS,HIGHER SECONDERY EXAMINATION,80.0,81.0,64,83,83.0,70.0,83.0,79.4,82.2,WBBSE,English,313.0,78.25,80.80000000000001,Medium
919,HS,HIGHER SECONDARY,75.0,77.0,65,80,78.0,76.0,83.0,77.2,82.2,WBBSE,English,306.0,76.5,79.7,Medium
920,HS,HIGHER SECONDARY,81.0,88.0,71,90,90.0,70.0,83.0,84.0,82.2,WBBSE,English,334.0,83.5,83.1,High
921,HS,BOARD,75.0,75.0,79,74,59.0,80.0,83.0,72.4,82.2,WBBSE,English,295.0,73.75,77.30000000000001,Medium
922,HS,AISSCE,92.0,86.0,91,92,94.0,80.0,94.0,92.6,82.2,WBBSE,English,371.0,92.75,87.4,High
923,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,80.0,74.0,78,81,80.0,61.0,83.0,78.6,82.2,WBBSE,English,322.0,80.5,80.4,High
924,HS,BOARD EXAM,93.0,79.0,61,63,73.0,80.0,82.0,78.0,82.2,WBBSE,English,279.0,69.75,80.1,Medium
925,HS,ISC,90.0,98.0,62,84,83.0,96.0,83.0,90.2,82.2,WBBSE,English,312.0,78.0,86.2,Medium
926,HS,Central Board of Secondary Education,93.0,86.0,48,53,65.0,80.0,87.0,69.2,82.2,WBBSE,English,253.0,63.25,75.7,Medium
927,HS,ISC,90.0,90.0,83,81,83.0,81.0,88.0,86.8,82.2,WBBSE,English,335.0,83.75,84.5,High
928,HS,WBCHSE,84.0,75.0,62,86,86.0,80.0,83.0,82.2,82.2,WBBSE,English,317.0,79.25,82.2,Medium
929,HS,H.S,90.0,92.0,56,93,93.0,80.0,83.0,89.6,82.2,WBBSE,English,325.0,81.25,85.9,High
930,HS,Higher Secondary ,82.0,77.0,80,82,84.0,81.0,83.0,81.8,82.2,WBBSE,English,329.0,82.25,82.0,High
931,HS,WEST BENGAL HIGHER SECONDARY EXAMINATION,81.0,68.0,62,82,81.0,80.0,72.0,76.8,82.2,WBBSE,English,297.0,74.25,79.5,Medium
932,HS,All India Senior school certificate examination,86.0,86.0,76,82,90.0,83.0,83.0,85.4,82.2,WBBSE,English,331.0,82.75,83.80000000000001,High
933,HS,HIGHER SECONDARY,80.0,80.0,61,82,82.0,73.0,83.0,79.4,82.2,WBBSE,English,308.0,77.0,80.80000000000001,Medium
934,HS,WBCHSE,73.0,81.0,64,85,84.0,85.0,83.0,81.6,82.2,WBBSE,English,316.0,79.0,81.9,Medium
935,HS,Higher Secondary Examination ,86.0,87.0,72,90,90.0,82.0,83.0,87.0,82.2,WBBSE,English,335.0,83.75,84.6,High
936,HS,WBCHSE,81.0,76.0,63,84,84.0,80.0,83.0,77.6,82.2,WBBSE,English,314.0,78.5,79.9,Medium
937,HS,INDIAN SCHOOL CERTIFICATE EXAMINATIONS,87.0,87.0,79,83,76.0,80.0,87.0,84.6,82.2,WBBSE,English,325.0,81.25,83.4,High
938,HS,Higher Secondary Examination,77.0,95.0,93,96,96.0,82.0,83.0,92.4,82.2,WBBSE,English,368.0,92.0,87.30000000000001,High
939,HS,"SENIOR SCHOOL CERTIFICATE EXAMINATION,2021",81.0,86.0,51,62,58.0,61.0,83.0,62.6,82.2,WBBSE,English,254.0,63.5,72.4,Medium
940,HS,HIGHER SECONDARY,80.0,96.0,87,96,96.0,80.0,81.0,91.2,82.2,WBBSE,English,360.0,90.0,86.7,High
941,HS,HIGHER SECONDARY EXAMINATION,61.0,78.0,60,77,80.0,80.0,83.0,71.2,82.2,WBBSE,English,300.0,75.0,76.7,Medium
942,HS,HIGHER SECONDARY,74.0,85.0,65,86,87.0,71.0,83.0,80.6,82.2,WBBSE,English,321.0,80.25,81.4,High
943,HS,HIGHER SECONDARY,80.0,77.0,66,80,80.0,66.0,83.0,76.6,82.2,WBBSE,English,309.0,77.25,79.4,Medium
944,HS,ISC,92.0,91.0,86,91,90.0,92.0,83.0,91.2,82.2,WBBSE,English,350.0,87.5,86.7,High
945,HS,PRE-DEGREE EXAMINATION ,97.0,86.0,98,93,97.0,90.0,83.0,95.0,82.2,WBBSE,English,371.0,92.75,88.6,High
946,HS,ISC 2021 EXAMINATION,96.0,95.0,83,76,90.0,90.0,83.0,90.8,82.2,WBBSE,English,332.0,83.0,86.5,High
947,HS,Higher Secondary Examination,82.0,93.0,90,94,94.0,90.0,83.0,92.2,82.2,WBBSE,English,361.0,90.25,87.2,High
948,HS,Intermediate Public Examination,93.0,94.0,100,84,75.0,80.0,83.0,94.8,82.2,WBBSE,English,342.0,85.5,88.5,High
949,HS,HIGHER SECONDARY EXAMINATION,73.0,91.0,50,92,87.0,65.0,83.0,81.6,82.2,WBBSE,English,312.0,78.0,81.9,Medium
950,HS,H.S.,76.0,71.0,60,78,78.0,70.0,83.0,74.6,82.2,WBBSE,English,299.0,74.75,78.4,Medium
951,HS,HigherSecondoryExamination,73.0,85.0,70,87,87.0,87.0,83.0,83.8,82.2,WBBSE,English,327.0,81.75,83.0,High
952,HS,HIGHER SECONDARY,78.0,83.0,80,86,86.0,86.0,83.0,84.2,82.2,WBBSE,English,335.0,83.75,83.2,High
953,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION,91.0,86.0,92,82,87.0,80.0,91.0,88.6,82.2,WBBSE,English,352.0,88.0,85.4,High
954,HS,HIGHER SECONDARY OR EQUIVALENT EXAM,94.0,86.0,66,71,71.0,80.0,83.0,60.4,82.2,WBBSE,English,291.0,72.75,71.3,Medium
955,HS,HIGHER SECONDARY EXAMINATION,86.0,86.0,61,88,88.0,80.0,81.0,85.8,82.2,WBBSE,English,318.0,79.5,84.0,Medium
956,HS,Krishanu Bandyopadhyay,87.0,86.0,69,88,76.0,80.0,95.0,83.0,82.2,WBBSE,English,328.0,82.0,82.6,High
957,HS,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATION,NEW DELHI",91.0,86.0,83,85,84.0,85.0,83.0,85.6,82.2,WBBSE,English,335.0,83.75,83.9,High
958,HS,Higher Secondary,84.0,80.0,66,86,84.0,71.0,83.0,81.0,82.2,WBBSE,English,319.0,79.75,81.6,Medium
959,HS,BIHAR SCHOOL EXAMINATION BOARD,70.0,80.0,63,75,68.0,80.0,83.0,71.2,82.2,WBBSE,English,289.0,72.25,76.7,Medium
960,HS,"Higher secondary examination,( West Bengal council of higher secondary education)",58.0,68.0,63,65,62.0,55.0,83.0,63.2,82.2,WBBSE,English,273.0,68.25,72.7,Medium
961,HS,Higher Secondary Examination,82.0,91.0,80,92,92.0,88.0,83.0,89.0,82.2,WBBSE,English,347.0,86.75,85.6,High
962,HS,Higher Secondary Examination,75.0,77.0,76,81,80.0,32.0,83.0,77.8,82.2,WBBSE,English,320.0,80.0,80.0,Medium
963,HS,MD  Umer Rashid ,66.0,65.0,52,70,71.0,80.0,64.0,67.2,82.2,WBBSE,English,257.0,64.25,74.7,Medium
964,HS,Senior School Certificate Examinations ( CBSE ),88.0,81.0,57,62,61.0,80.0,83.0,69.8,82.2,WBBSE,English,263.0,65.75,76.0,Medium
965,HS,West Bengal Council of Higher Secondary Education,83.0,86.0,66,87,87.0,73.0,83.0,83.2,82.2,WBBSE,English,323.0,80.75,82.7,High
966,HS,WBCHSE,77.0,87.0,66,90,90.0,73.0,83.0,83.4,82.2,WBBSE,English,329.0,82.25,82.80000000000001,High
967,HS,HIGHER SECONDARY EXAMINATION 2020,90.0,94.0,93,95,95.0,95.0,83.0,94.4,82.2,WBBSE,English,366.0,91.5,88.30000000000001,High
968,HS, HIGHER SECONDARY EXAMINATION,71.0,77.0,63,78,80.0,74.0,83.0,76.0,82.2,WBBSE,English,304.0,76.0,79.1,Medium
969,HS,"INTERMEDIATE ANNUAL EXAMINATION,2020",75.0,45.0,76,76,76.0,80.0,83.0,69.6,82.2,WBBSE,English,311.0,77.75,75.9,Medium
970,HS,AISSCE,99.0,95.0,89,86,91.0,80.0,96.0,94.0,82.2,WBBSE,English,362.0,90.5,88.1,High
971,HS,PALAK JHA,74.0,92.0,65,79,73.0,80.0,80.0,79.6,82.2,WBBSE,English,297.0,74.25,80.9,Medium
972,HS,WEST BENGAL HIGHER SECONDARY EXAMINATION ,90.0,76.0,70,91,90.0,80.0,83.0,85.4,82.2,WBBSE,English,334.0,83.5,83.80000000000001,High
973,HS,ISC,72.0,84.0,41,49,50.0,80.0,63.0,63.6,82.2,WBBSE,English,203.0,50.75,72.9,Low
974,HS,Higher Secondary Examination,74.0,91.0,66,92,92.0,75.0,83.0,84.8,82.2,WBBSE,English,333.0,83.25,83.5,High
975,HS,WBCHSE,76.0,84.0,82,84,84.0,80.0,83.0,82.0,82.2,WBBSE,English,333.0,83.25,82.1,High
976,HS,All India Senior School Certificate Examination,93.0,85.0,80,88,89.0,80.0,90.0,89.0,82.2,WBBSE,English,347.0,86.75,85.6,High
977,HS,senior secondary examination,70.0,91.0,79,83,77.0,80.0,91.0,84.2,82.2,WBBSE,English,330.0,82.5,83.2,High
978,HS,HIGHER SECONDARY EXAMINATION,85.0,88.0,86,92,92.0,92.0,83.0,90.0,82.2,WBBSE,English,353.0,88.25,86.1,High
979,HS,HIGHER SECONDARY EXAMINATION,71.0,85.0,51,87,86.0,63.0,83.0,78.4,82.2,WBBSE,English,307.0,76.75,80.30000000000001,Medium
980,HS,INDIAN SCHOOL CERTIFICATE,94.0,86.0,88,95,94.0,80.0,97.0,93.6,82.2,WBBSE,English,374.0,93.5,87.9,High
981,HS,HIGHER SECONDARY EXAMINATION (WB),88.0,90.0,90,92,91.0,80.0,87.0,90.2,82.2,WBBSE,English,360.0,90.0,86.2,High
982,HS,Higher secondary ,74.0,80.0,68,82,83.0,68.0,83.0,77.4,82.2,WBBSE,English,316.0,79.0,79.80000000000001,Medium
983,HS, HIGHER SECONDARY EXAMINATION,84.0,80.0,85,86,84.0,73.0,83.0,83.8,82.2,WBBSE,English,338.0,84.5,83.0,High
984,HS,CENTRAL BOARD OF SECONDARY EDUCATION (CBSE ),85.0,86.0,69,78,78.0,80.0,83.0,62.0,82.2,WBBSE,English,308.0,77.0,72.1,Medium
985,HS,ISC,83.0,78.0,89,85,79.0,80.0,92.0,85.4,82.2,WBBSE,English,345.0,86.25,83.80000000000001,High
986,HS,Central board of secondary education,73.0,70.0,95,80,74.0,80.0,83.0,78.4,82.2,WBBSE,English,332.0,83.0,80.30000000000001,High
987,HS,Indian School Certificate Examination,94.0,86.0,73,83,76.0,80.0,91.0,83.4,82.2,WBBSE,English,323.0,80.75,82.80000000000001,High
988,HS,HIGHER SECONDARY,92.0,90.0,93,94,94.0,85.0,83.0,92.6,82.2,WBBSE,English,364.0,91.0,87.4,High
989,HS,Senior Secondary Exam,61.0,86.0,61,63,65.0,64.0,66.0,63.8,82.2,WBBSE,English,255.0,63.75,73.0,Medium
990,HS,ISC,90.0,86.0,78,91,87.0,80.0,90.0,87.2,82.2,WBBSE,English,346.0,86.5,84.7,High
991,HS,Higher Secondary Examination,87.0,94.0,86,95,95.0,80.0,86.0,91.4,82.2,WBBSE,English,362.0,90.5,86.80000000000001,High
992,HS, Higher Secondary Examination,72.0,61.0,60,76,76.0,70.0,83.0,71.0,82.2,WBBSE,English,295.0,73.75,76.6,Medium
993,HS,Higher Secondary Exam,88.0,93.0,67,94,94.0,84.0,83.0,90.6,82.2,WBBSE,English,338.0,84.5,86.4,High
994,HS,WEST BENGAL COUNCIL OF HIGH SECONDARY EDUCATION,81.0,90.0,90,92,90.0,42.0,83.0,88.6,82.2,WBBSE,English,355.0,88.75,85.4,High
995,HS,Senior School Certificate Examination,87.0,86.0,95,68,91.0,95.0,83.0,87.2,82.2,WBBSE,English,337.0,84.25,84.7,High
996,HS,H.S,80.0,81.0,67,83,83.0,75.0,83.0,80.4,82.2,WBBSE,English,316.0,79.0,81.30000000000001,Medium
997,HS,Higher Secondary Examination,82.0,93.0,76,94,94.0,82.0,83.0,89.0,82.2,WBBSE,English,347.0,86.75,85.6,High
998,HS,HSC,100.0,39.0,74,67,66.0,80.0,83.0,71.4,82.2,WBBSE,English,290.0,72.5,76.80000000000001,Medium
999,HS,Higher Secondary Examination,87.0,90.0,94,95,95.0,82.0,83.0,92.2,82.2,WBBSE,English,367.0,91.75,87.2,High
1000,HS,Higher Secondary,90.0,84.0,81,92,91.0,70.0,83.0,87.6,82.2,WBBSE,English,347.0,86.75,84.9,High
1001,HS,Higher Secondary Exam(H.S),73.0,80.0,97,70,66.0,76.0,83.0,79.2,82.2,WBBSE,English,316.0,79.0,80.7,Medium
1002,HS,HIGHER SECONDARY,78.0,90.0,70,91,91.0,80.0,83.0,86.0,82.2,WBBSE,English,335.0,83.75,84.1,High
1003,HS,ISC,98.0,86.0,75,84,81.0,85.0,83.0,84.6,82.2,WBBSE,English,323.0,80.75,83.4,High
1004,HS,ALL INDIA SENIOR SCHOOL CERTIFICATE EXAMINATION (AISSCE),91.0,90.0,86,81,82.0,80.0,86.0,87.0,82.2,WBBSE,English,335.0,83.75,84.6,High
1005,HS,Higher Secondary ,91.0,81.0,64,91,93.0,74.0,83.0,86.0,82.2,WBBSE,English,331.0,82.75,84.1,High
1006,HS,CBSE,81.0,83.0,83,88,76.0,80.0,72.0,82.2,82.2,WBBSE,English,319.0,79.75,82.2,Medium
1007,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EXAMINATION,80.0,74.0,45,86,86.0,86.0,83.0,82.4,82.2,WBBSE,English,300.0,75.0,82.30000000000001,Medium
1008,HS,HS EXAM,80.0,73.0,80,81,82.0,58.0,83.0,79.2,82.2,WBBSE,English,326.0,81.5,80.7,High
1009,HS,CBSE,88.0,72.0,61,60,64.0,80.0,72.0,71.4,82.2,WBBSE,English,257.0,64.25,76.80000000000001,Medium
1010,HS,West Bengal Council Of Higher Secondary Education,80.0,81.0,80,81,82.0,74.0,83.0,80.8,82.2,WBBSE,English,326.0,81.5,81.5,High
1011,HS,All India Senior School Certificate Examination (AISSCE),92.0,92.0,95,88,84.0,80.0,95.0,92.4,82.2,WBBSE,English,362.0,90.5,87.30000000000001,High
1012,HS,ISC,90.0,86.0,95,89,92.0,96.0,83.0,92.4,82.2,WBBSE,English,359.0,89.75,87.30000000000001,High
1013,HS,Higher Secondary Examination,84.0,94.0,84,95,95.0,80.0,83.0,90.4,82.2,WBBSE,English,357.0,89.25,86.30000000000001,High
1014,HS,HIGHER SECONDARY,74.0,80.0,58,82,82.0,75.0,73.0,78.6,82.2,WBBSE,English,295.0,73.75,80.4,Medium
1015,HS,ISC,88.0,88.0,74,72,79.0,75.0,83.0,79.4,82.2,WBBSE,English,308.0,77.0,80.80000000000001,Medium
1016,HS, HIGHER SECONDARY EDUCATION,73.0,84.0,70,86,86.0,80.0,83.0,81.8,82.2,WBBSE,English,325.0,81.25,82.0,High
1017,HS,"HIGHER SECONDARY EXAMINATION ,2021",90.0,90.0,90,92,92.0,80.0,83.0,90.8,82.2,WBBSE,English,357.0,89.25,86.5,High
1018,HS,INDIAN SCHOOL CERTIFICATE EXAMINATION,72.0,63.0,83,67,77.0,87.0,83.0,77.2,82.2,WBBSE,English,310.0,77.5,79.7,Medium
